root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
manhole	manholes				manholes			
manhood					manhoods			
manhunt	manhunts				manhunts			
mania	manias				manias			
maniac	maniacs				maniacs			
maniacal		maniacally						
manic		manically						
manicure	manicured,manicures,manicuring				manicures	manicuring	manicured	manicures
manicurist	manicurists				manicurists			
manifest	manifested,manifesting,manifests	manifestly	manifester		manifests	manifesting	manifested	manifests
manifestation	manifestations				manifestations			
manifesto	manifestoes,manifestos				manifestoes			
manifold	manifolds	manifoldly	manifolder		manifolds	manifolding	manifolded	manifolds
manihot					manihots			
manikin	manikins				manikins			
manila					manilas			
manilla					manillas			
manioc					maniocs			
manioca					maniocas			
manipulate	manipulated,manipulates,manipulating					manipulating	manipulated	manipulates
manipulation	manipulations				manipulations			
manipulative		manipulatively						
manipulator	manipulators				manipulators			
manky			mankier,mankiest					
manlike		manlikely						
manly		manlily	manlier,manliest	manliness				
manna					mannas			
mannequin	mannequins				mannequins			
manner	manners							
mannerism	mannerisms				mannerisms			
mannerly				mannerliness				
mannikin					mannikins			
mannish		mannishly						
mannitol					mannitols			
manoeuver						manoeuvering	manoeuvered	
manoeuvre						manoeuvreing,manoeuvring	manoeuvred	
manometer					manometers			
manor	manors				manors			
manpower					manpowers			
mansard	mansards				mansards			
manse	manses				manses			
manservant	menservants				menservants			
mansion	mansions				mansions			
manslaughter					manslaughters			
manslayer					manslayers			
manta					mantas			
manteau	manteaus,manteaux				manteaux			
mantel	mantels				mantels			
mantelet					mantelets			
mantelpiece	mantelpieces				mantelpieces			
mantelshelf	mantelshelves							
mantic		mantically						
mantid					mantids			
mantilla	mantillas				mantillas			
mantis	mantes,mantises				mantes			
mantissa					mantissas			
mantle	mantled,mantles,mantling				mantles	mantling	mantled	mantles
mantlepiece					mantlepieces			
mantlet					mantlets			
mantra	mantras				mantras			
mantrap					mantraps			
mantua					mantuas			
manual	manuals	manually			manuals			
manubrium	manubria,manubriums				manubria			
manufactory					manufactories			
manufacture	manufactured,manufactures,manufacturing				manufactures	manufacturing	manufactured	manufactures
manufacturer	manufacturers				manufacturers			
manumission					manumissions			
manumit						manumitting	manumitted	manumits
manure	manured,manures,manuring				manures	manuring	manured	manures
manus					mani			
manuscript	manuscripts				manuscripts			
manxman	manxmen							
maoist	maoists				maoists			
maori	maoris				maoris			
map	mapped,mapping,maps				maps	mapping	mapped	maps
maple	maples				maples			
mapper					mappers			
mapping					mappings			
maquiladora	maquiladoras							
mar	marred,marring,mars					marring	marred	mars
mara					maras			
marabou	marabous				marabous			
marabout					marabouts			
maraca					maracas			
maranta					marantas			
marasca					marascas			
maraschino	maraschinos				maraschinos			
marasmus					marasmuses			
marathon	marathons				marathons			
maraud					marauds	marauding	marauded	marauds
marauder	marauders				marauders			
maravedi	maravedidis							
marble	marbles					marbling	marbled	marbles
marbleize						marbleizing	marbleized	marbleizes
marbling					marblings			
marc					marcs			
marcel					marcels	marcelling	marcelled	marcels
march	marched,marches,marching					marching	marched	marches
marcher	marchers				marchers			
marchesa	marchese				marchese			
marchese	marchesi				marchesi			
marchioness	marchionesses				marchionesses			
mare	mares				mares			
