ford motor company of canada,ford canada,ford motor company of canada ltd.,ford motor canada,ford motor
general electric,general electric company,GE,general electric co
microsoft,microsoft corporation,microsoft corp,microsoft corp.,MS,MSFT
indiana university-purdue university indianapolis,IUPUI,indiana university - purdue university indianapolis,"indiana university-purdue university indianapolis, main campus"
ford motor company,ford,ford motor company world headquarters,ford motor
university of washington,u-dub,"university of washington, seattle",u dub,"university of washington, main campus","university, washington",UW
university of wisconsin-madison,university of wisconsin–madison,uw-madison,university of wisconsin,madison,"university of wisconsin-madison, main campus",UW
BMW,bimmer,beemer,beamer,Bavarian Motor Works,Bayerische Motoren Werke AG,Bayerische Motoren Werke
AEP,American Electric Power,Appalachian Power,Kentucky Power,AEP Texas,AEP Ohio
